62      -0.102823       0.112302      -0.114477      -0.110812              0        1.00141         1.0007          0.001
63      -0.105642       0.122164      -0.117699      -0.114279              0        1.00141         1.0007          0.001
64      -0.108468       0.132475       -0.12089      -0.117795              0        1.00141        1.00071          0.001
65      -0.111298        0.14324      -0.124042      -0.121362              0        1.00142        1.00071          0.001
66      -0.114132       0.154461      -0.127144      -0.124979              0        1.00142        1.00071          0.001
67      -0.116966       0.166139      -0.130186      -0.128646              0        1.00142        1.00071          0.001
68      -0.119799       0.178274      -0.133157      -0.132365              0        1.00142        1.00071          0.001
69      -0.122629       0.190867      -0.136046      -0.136135              0        1.00142        1.00071          0.001
70      -0.125455       0.203916      -0.138842      -0.139956              0        1.00141        1.00071          0.001
71      -0.128274        0.21742      -0.141532       -0.14383              0        1.00141         1.0007          0.001
72      -0.131084       0.231375      -0.144104      -0.147758              0        1.00141         1.0007          0.001
73      -0.133884       0.245778      -0.146545      -0.151739              0         1.0014         1.0007          0.001
74      -0.136672       0.260624      -0.148841      -0.155774              0        1.00139         1.0007          0.001
75      -0.139446       0.275908       -0.15098      -0.159865              0        1.00139        1.00069          0.001
76      -0.142205       0.291623      -0.152946      -0.164011              0        1.00138        1.00069          0.001
77      -0.144947       0.307761      -0.154727      -0.168214              0        1.00137        1.00069          0.001
78       -0.14767       0.324315      -0.156308      -0.172473              0        1.00136        1.00068          0.001
79      -0.150373       0.341276      -0.157674      -0.176791              0        1.00135        1.00068          0.001
80      -0.153054       0.358633      -0.158811      -0.181167              0        1.00134        1.00067          0.001
81      -0.155713       0.376375      -0.159704      -0.185603              0        1.00133        1.00066          0.001
82      -0.158347       0.394491       -0.16034      -0.190097              0        1.00132        1.00066          0.001
83      -0.160955       0.412969      -0.160703      -0.194651              0        1.00131        1.00065          0.001
84      -0.163537       0.431795      -0.160779      -0.199266              0        1.00129        1.00065          0.001
85       -0.16609       0.450955      -0.160554       -0.20394              0        1.00128        1.00064          0.001
86      -0.168615       0.470434      -0.160013      -0.208674              0        1.00126        1.00063          0.001
87       -0.17111       0.490218      -0.159144      -0.213468              0        1.00125        1.00062          0.001
88      -0.173575        0.51029      -0.157933       -0.21832              0        1.00123        1.00062          0.001
89      -0.176007       0.530634      -0.156366      -0.223231              0        1.00122        1.00061          0.001
90      -0.178407       0.551232      -0.154432      -0.228198              0         1.0012         1.0006          0.001
91      -0.180775       0.572067      -0.152118      -0.233221              0        1.00118        1.00059          0.001
92      -0.183108       0.593121      -0.149412      -0.238298              0        1.00117        1.00058          0.001
93      -0.185408       0.614376      -0.146304      -0.243426              0        1.00115        1.00058          0.001
94      -0.187672       0.635812      -0.142783      -0.248604              0        1.00113        1.00057          0.001
95      -0.189902        0.65741       -0.13884      -0.253827              0        1.00112        1.00056          0.001
96      -0.192096       0.679153      -0.134465      -0.259093              0         1.0011        1.00055          0.001
97      -0.194255       0.701019       -0.12965      -0.264398              0        1.00108        1.00054          0.001
98      -0.196377        0.72299      -0.124388      -0.269738              0        1.00106        1.00053          0.001
99      -0.198464       0.745045      -0.118672      -0.275107              0        1.00104        1.00052          0.001
100      -0.200514       0.767166      -0.112496      -0.280501              0        1.00103        1.00051          0.001
101      -0.202528       0.789333      -0.105854      -0.285914              0        1.00101         1.0005          0.001
102      -0.204506       0.811526     -0.0987437       -0.29134              0        1.00099        1.00049          0.001
103      -0.206447       0.833727     -0.0911604      -0.296772              0        1.00097        1.00049          0.001
104      -0.208353       0.855915     -0.0831019      -0.302203              0        1.00095        1.00048          0.001
105      -0.210222       0.878074     -0.0745666      -0.307624              0        1.00094        1.00047          0.001
106      -0.212055       0.900184     -0.0655538      -0.313029              0        1.00092        1.00046          0.001
107      -0.213852       0.922227     -0.0560636      -0.318408              0         1.0009        1.00045          0.001
108      -0.215614       0.944186      -0.046097      -0.323753              0        1.00088        1.00044          0.001
109       -0.21734       0.966045     -0.0356561      -0.329053              0        1.00086        1.00043          0.001
110      -0.219032       0.987785     -0.0247435        -0.3343              0        1.00085        1.00042          0.001
111      -0.220688        1.00939      -0.013363      -0.339482              0        1.00083        1.00041          0.001
112       -0.22231        1.03085    -0.00151896       -0.34459              0        1.00081        1.00041          0.001
113      -0.223898        1.05215      0.0107833      -0.349611              0        1.00079         1.0004          0.001
114      -0.225452        1.07326      0.0235376      -0.354536              0        1.00078        1.00039          0.001
115      -0.226972        1.09419       0.036737      -0.359352              0        1.00076        1.00038          0.001
116      -0.228459        1.11491       0.050374      -0.364049              0        1.00074        1.00037          0.001
117      -0.229913        1.13542      0.0644402      -0.368613              0        1.00073        1.00036          0.001
118      -0.231334         1.1557      0.0789264      -0.373033              0        1.00071        1.00036          0.001
119      -0.232723        1.17574      0.0938229      -0.377298              0        1.00069        1.00035          0.001
120       -0.23408        1.19553       0.109119      -0.381395              0        1.00068        1.00034          0.001
121      -0.235406        1.21507       0.124805      -0.385312              0        1.00066        1.00033          0.001
122      -0.236701        1.23434       0.140867      -0.389037              0        1.00065        1.00032          0.001
123      -0.237965        1.25334       0.157295      -0.392557              0        1.00063        1.00032          0.001
124      -0.239198        1.27206       0.174074      -0.395863              0        1.00062        1.00031          0.001
125      -0.240402        1.29049       0.191194       -0.39894              0         1.0006         1.0003          0.001
126      -0.241575        1.30864       0.208638       -0.40178              0        1.00059        1.00029          0.001
127       -0.24272        1.32648       0.226395      -0.404369              0        1.00057        1.00029          0.001
128      -0.243836        1.34403       0.244448      -0.406698              0        1.00056        1.00028          0.001
129      -0.244923        1.36127       0.262784      -0.408755              0        1.00054        1.00027          0.001
130      -0.245982        1.37821       0.281388      -0.410532              0        1.00053        1.00026          0.001
131      -0.247014        1.39483       0.300243      -0.412017              0        1.00052        1.00026          0.001
132      -0.248019        1.41115       0.319336      -0.413203              0         1.0005        1.00025          0.001
133      -0.248996        1.42716       0.338649       -0.41408              0        1.00049        1.00024          0.001
134      -0.249948        1.44285       0.358168      -0.414639              0        1.00048        1.00024          0.001
135      -0.250873        1.45823       0.377875      -0.414874              0        1.00046        1.00023          0.001
136      -0.251774         1.4733       0.397756      -0.414777              0        1.00045        1.00023          0.001
137      -0.252649        1.48806       0.417794      -0.414342              0        1.00044        1.00022          0.001
138        -0.2535        1.50251       0.437973      -0.413562              0        1.00043        1.00021          0.001
139      -0.254327        1.51666       0.458278      -0.412433              0        1.00041        1.00021          0.001
140       -0.25513         1.5305       0.478691      -0.410949              0         1.0004         1.0002          0.001
