-10.2281        9.35299       -1.54098
-10.2281        9.58393      -0.418357
-10.2281        8.84573       0.594711
-10.2281        9.98551        1.36089
-10.2281       -10.4614       -1.43767
-10.2281       -9.14965       -1.04577
-10.2281       -10.6008       0.508591
-10.2281       -9.71705         1.2768
-10.2281        -8.1047       -1.45033
-10.2281       -7.03683      -0.280975
-10.2281       -8.85963       0.481155
-10.2281       -8.43233        1.55277
-10.2281       -6.86642       -1.44825
-10.2281       -5.76082      -0.369318
-10.2281       -7.54556       0.914782
-10.2281       -6.19389        1.45372
-10.2281       -4.84392       -1.56429
-10.2281       -3.98486      -0.669822
-10.2281       -4.65491       0.301436
-10.2281       -4.29295        1.58687
