1         -3e-06         -3e-06         -3e-06         -3e-06              0
2   -1.19989e-05   -1.19998e-05       -1.2e-05       -1.2e-05              0
3   -2.69933e-05   -2.69989e-05       -2.7e-05   -2.69998e-05              0
4   -4.79777e-05   -4.79964e-05       -4.8e-05   -4.79993e-05              0
5   -7.49443e-05   -7.49911e-05   -7.50001e-05   -7.49982e-05              0
6   -0.000107883   -0.000107981      -0.000108   -0.000107996              0
7   -0.000146782   -0.000146965      -0.000147   -0.000146993              0
8   -0.000191628    -0.00019194      -0.000192   -0.000191988              0
9   -0.000242403   -0.000242903      -0.000243   -0.000242981              0
10    -0.00029909   -0.000299853        -0.0003    -0.00029997              0
11   -0.000361669   -0.000362784      -0.000363   -0.000362956              0
12   -0.000430118   -0.000431694      -0.000432   -0.000431938              0
13   -0.000504413   -0.000506579      -0.000507   -0.000506915              0
14   -0.000584529   -0.000587434   -0.000588001   -0.000587885              0
15    -0.00067044   -0.000674254   -0.000675001   -0.000674849              0
16   -0.000762116   -0.000767036   -0.000768001   -0.000767804              0
17   -0.000859529   -0.000865773   -0.000867001    -0.00086675              0
18   -0.000962647    -0.00097046   -0.000972001   -0.000971686              0
19    -0.00107144    -0.00108109      -0.001083    -0.00108261              0
20    -0.00118587    -0.00119766        -0.0012    -0.00119952              0
21     -0.0013059    -0.00132016      -0.001323    -0.00132242              0
22     -0.0014315    -0.00144859      -0.001452     -0.0014513              0
23    -0.00156264    -0.00158293      -0.001587    -0.00158616              0
24    -0.00169927    -0.00172319    -0.00172801    -0.00172701              0
25    -0.00184136    -0.00186935    -0.00187501    -0.00187383              0
26    -0.00198887    -0.00202141    -0.00202801    -0.00202663              0
27    -0.00214176    -0.00217935    -0.00218701    -0.00218541              0
28    -0.00229999    -0.00234318    -0.00235201    -0.00235016              0
29    -0.00246351    -0.00251288    -0.00252301    -0.00252088              0
30     -0.0026323    -0.00268845    -0.00270002    -0.00269757              0
31     -0.0028063    -0.00286987    -0.00288302    -0.00288023              0
32    -0.00298548    -0.00305713    -0.00307202    -0.00306886              0
33     -0.0031698    -0.00325024    -0.00326703    -0.00326345              0
34    -0.00335921    -0.00344917    -0.00346803    -0.00346399              0
35    -0.00355367    -0.00365393    -0.00367504     -0.0036705              0
36    -0.00375314    -0.00386449    -0.00388805    -0.00388296              0
37    -0.00395758    -0.00408086    -0.00410705    -0.00410138              0
38    -0.00416694    -0.00430302    -0.00433206    -0.00432575              0
39    -0.00438118    -0.00453096    -0.00456307    -0.00455606              0
40    -0.00460026    -0.00476467    -0.00480009    -0.00479232              0
41    -0.00482414    -0.00500415     -0.0050431    -0.00503453              0
42    -0.00505277    -0.00524938    -0.00529211    -0.00528267              0
43    -0.00528612    -0.00550035    -0.00554713    -0.00553675              0
44    -0.00552413    -0.00575705    -0.00580815    -0.00579676              0
45    -0.00576677    -0.00601948    -0.00607517     -0.0060627              0
46      -0.006014    -0.00628762    -0.00634819    -0.00633457              0
47    -0.00626576    -0.00656145    -0.00662721    -0.00661237              0
48    -0.00652203    -0.00684098    -0.00691224    -0.00689608              0
49    -0.00678275    -0.00712619    -0.00720327    -0.00718571              0
50    -0.00704789    -0.00741707    -0.00750031    -0.00748126              0
51     -0.0073174    -0.00771361    -0.00780334    -0.00778271              0
52    -0.00759123     -0.0080158    -0.00811238    -0.00809007              0
53    -0.00786936    -0.00832362    -0.00842743    -0.00840334              0
54    -0.00815173    -0.00863708    -0.00874847     -0.0087225              0
55    -0.00843831    -0.00895615    -0.00907553    -0.00904756              0
56    -0.00872905    -0.00928082    -0.00940858     -0.0093785              0
57    -0.00902391     -0.0096111    -0.00974765    -0.00971534              0
58    -0.00932284    -0.00994695     -0.0100927     -0.0100581              0
